sale_id,customer_id,product_id,sale_date,sale_quantity,sale_amount,sale_discount,sale_tax,sale_payment_method,sale_status,sale_notes
68,68,,7/1/2023,1,90.5,0,7.24,Cash,Completed,New customer
69,69,,6/18/2023,2,135,0,10.8,Debit Card,Completed,Larger order
70,70,,9/3/2023,1,95.75,0,7.66,Credit Card,Completed,Repeat custome
71,71,,8/10/2023,2,130,0,10.4,Cash,Completed,Larger order
72,72,,11/4/2023,1,85.5,0,6.84,Debit Card,Completed,New customer
73,73,,7/20/2023,1,110.25,5,8.32,Credit Card,Completed,Repeat purchase
74,74,,10/15/2023,2,180,0,14.4,Cash,Completed,Loyal customer
75,75,,9/1/2023,2,135,0,10.8,Debit Card,Completed,Larger order
76,76,,1/12/2024,1,90,0,7.2,Credit Card,Completed,New customer
77,77,,3/5/2024,1,100.25,5,7.62,Cash,Completed,Repeat purchase
78,78,,6/22/2024,2,140,0,11.2,Debit Card,Completed,Larger order
79,79,,5/8/2024,1,85.5,0,6.84,Credit Card,Completed,New customer
80,80,,8/1/2024,1,110.25,5,8.32,Cash,Completed,Repeat purchase
81,81,,7/10/2024,1,90,0,7.2,Debit Card,Completed,New customer
82,82,,10/22/2024,2,145,0,11.6,Credit Card,Completed,Larger order
83,83,,9/5/2024,1,85.5,0,6.84,Cash,Completed,Repeat purchase
84,84,,1/18/2025,2,160,10,11.2,Debit Card,Completed,Loyal customer
85,85,,12/1/2024,1,95,0,7.6,Credit Card,Completed,New customer
86,86,,3/15/2025,2,130,0,10.4,Cash,Completed,Larger order
87,87,,2/10/2025,1,110.25,5,8.32,Debit Card,Completed,Repeat purchase
88,88,,5/27/2025,1,90,0,7.2,Credit Card,Completed,New customer
89,89,,4/20/2025,2,145,0,11.6,Cash,Completed,Larger order
90,90,,7/12/2025,1,95,0,7.6,Debit Card,Completed,Repeat customer
91,91,,6/5/2025,1,160,10,11.2,Credit Card,Completed,New customer
92,92,,9/18/2025,1,90,0,7.2,Cash,Completed,Larger order
93,93,,8/10/2025,2,130,0,10.4,Debit Card,Completed,Repeat purchase
94,94,,11/25/2025,1,95,0,7.6,Credit Card,Completed,Loyal customer
95,95,,10/2/2025,2,145,0,11.6,Cash,Completed,New customer
96,96,,1/15/2026,1,160,10,11.2,Debit Card,Completed,Larger order
97,97,,3/8/2026,1,95,0,7.6,Credit Card,Completed,Repeat purchase
98,98,,6/22/2026,1,90,0,7.2,Cash,Completed,New customer
99,99,,5/1/2026,2,130,0,10.4,Debit Card,Completed,Loyal customer
100,100,,8/14/2026,2,145,0,11.6,Credit Card,Completed,Larger order
101,101,,7/10/2026,1,160,10,11.2,Cash,Completed,Repeat purchase
102,102,,10/25/2026,1,95,0,7.6,Debit Card,Completed,New customer
103,103,,9/2/2026,1,90,0,7.2,Credit Card,Completed,Loyal customer
104,104,,1/18/2027,2,130,0,10.4,Cash,Completed,Larger order
105,105,,12/5/2026,2,145,0,11.6,Debit Card,Completed,Repeat purchase
106,106,,3/28/2027,1,160,10,11.2,Credit Card,Completed,New customer
107,107,,2/10/2027,1,95,0,7.6,Cash,Completed,Loyal customer
108,108,,5/22/2027,1,90,0,7.2,Debit Card,Completed,Larger order
109,109,,4/5/2027,2,130,0,10.4,Credit Card,Completed,Repeat purchase
110,110,,7/18/2027,2,145,0,11.6,Cash,Completed,New customer
111,111,,6/10/2027,1,160,10,11.2,Debit Card,Completed,Loyal customer
112,112,,9/25/2027,1,95,0,7.6,Credit Card,Completed,Larger order
113,113,,8/2/2027,1,90,0,7.2,Cash,Completed,Repeat purchase
114,114,,11/15/2027,2,130,0,10.4,Debit Card,Completed,New customer
115,115,,10/5/2027,2,145,0,11.6,Credit Card,Completed,Loyal customer
116,116,,1/28/2028,1,160,10,11.2,Cash,Completed,Larger order
117,117,,3/10/2028,1,95,0,7.6,Debit Card,Completed,Repeat purchase
118,118,,6/22/2028,1,90,0,7.2,Credit Card,Completed,New customer
119,119,,5/1/2028,2,130,0,10.4,Cash,Completed,Loyal customer
120,120,,8/14/2028,2,145,0,11.6,Debit Card,Completed,Larger order
121,121,,7/10/2028,1,160,10,11.2,Credit Card,Completed,Repeat purchase
122,122,,10/25/2028,1,95,0,7.6,Cash,Completed,New customer
123,123,,9/2/2028,1,90,0,7.2,Debit Card,Completed,Loyal customer
124,124,,1/18/2029,2,130,0,10.4,Credit Card,Completed,Larger order
125,125,,12/5/2028,2,145,0,11.6,Cash,Completed,Repeat purchase
126,126,,3/28/2029,1,160,10,11.2,Debit Card,Completed,New customer
127,127,,2/10/2029,1,95,0,7.6,Credit Card,Completed,Loyal customer
128,128,,5/22/2029,1,90,0,7.2,Cash,Completed,Larger order
129,129,,4/5/2029,2,130,0,10.4,Debit Card,Completed,Repeat purchase
130,130,,7/18/2029,2,145,0,11.6,Credit Card,Completed,New customer
131,131,,6/10/2029,1,160,10,11.2,Cash,Completed,Loyal customer
132,132,,9/25/2029,1,95,0,7.6,Debit Card,Completed,Larger order
133,133,,8/2/2029,1,90,0,7.2,Credit Card,Completed,Repeat purchase
134,134,,11/15/2029,2,130,0,10.4,Cash,Completed,New customer
135,135,,10/5/2029,2,145,0,11.6,Debit Card,Completed,Loyal customer
136,136,,1/28/2030,1,160,10,11.2,Credit Card,Completed,Larger order
137,137,,3/10/2030,1,95,0,7.6,Cash,Completed,Repeat purchase
138,138,,6/22/2030,1,90,0,7.2,Debit Card,Completed,New customer
139,139,,5/1/2030,2,130,0,10.4,Credit Card,Completed,Loyal customer
140,140,,8/14/2030,2,145,0,11.6,Cash,Completed,Larger order
141,141,,7/10/2030,1,160,10,11.2,Debit Card,Completed,Repeat purchase
142,142,,10/25/2030,1,95,0,7.6,Credit Card,Completed,New customer
143,143,,9/2/2030,1,90,0,7.2,Cash,Completed,Loyal customer
144,144,,1/18/2031,2,130,0,10.4,Debit Card,Completed,Larger order
145,145,,12/5/2030,2,145,0,11.6,Credit Card,Completed,Repeat purchase
146,146,,3/28/2031,1,160,10,11.2,Cash,Completed,New customer
147,147,,2/10/2031,1,95,0,7.6,Debit Card,Completed,Loyal customer
148,148,,5/22/2031,1,90,0,7.2,Credit Card,Completed,Larger order
149,149,,4/5/2031,2,130,0,10.4,Cash,Completed,Repeat purchase
150,150,,7/18/2031,2,145,0,11.6,Debit Card,Completed,New customer
151,151,,6/10/2031,1,160,10,11.2,Credit Card,Completed,Repeat purchase
152,152,,9/25/2031,1,95,0,7.6,Cash,Completed,New customer
153,153,,8/2/2031,1,90,0,7.2,Debit Card,Completed,Loyal customer
154,154,,11/15/2031,2,130,0,10.4,Credit Card,Completed,Larger order
155,155,,10/5/2031,2,145,0,11.6,Cash,Completed,Repeat purchase
156,156,,1/28/2032,1,160,10,11.2,Debit Card,Completed,New customer
157,157,,3/10/2032,1,95,0,7.6,Credit Card,Completed,Loyal customer
158,158,,6/22/2032,1,90,0,7.2,Cash,Completed,Larger order
159,159,,5/1/2032,2,130,0,10.4,Debit Card,Completed,Repeat purchase
160,160,,8/14/2032,2,145,0,11.6,Credit Card,Completed,New customer
161,161,,7/10/2032,1,160,10,11.2,Cash,Completed,Loyal customer
162,162,,10/25/2032,1,95,0,7.6,Debit Card,Completed,Larger order
163,163,,9/2/2032,1,90,0,7.2,Credit Card,Completed,Repeat purchase
164,164,,1/18/2033,2,130,0,10.4,Cash,Completed,New customer
165,165,,12/5/2032,2,145,0,11.6,Debit Card,Completed,Loyal customer
166,166,,3/28/2033,1,160,10,11.2,Credit Card,Completed,Larger order
167,167,,2/10/2033,1,95,0,7.6,Cash,Completed,Repeat purchase
168,168,,5/22/2033,1,90,0,7.2,Debit Card,Completed,New customer
169,169,,4/5/2033,2,130,0,10.4,Credit Card,Completed,Loyal customer
170,170,,7/18/2033,2,145,0,11.6,Cash,Completed,Larger order
171,171,,6/10/2033,1,160,10,11.2,Debit Card,Completed,Repeat purchase
172,172,,9/25/2033,1,95,0,7.6,Credit Card,Completed,New customer
173,173,,8/2/2033,1,90,0,7.2,Cash,Completed,Loyal customer
174,174,,11/15/2033,2,130,0,10.4,Debit Card,Completed,Larger order
175,175,,10/5/2033,2,145,0,11.6,Credit Card,Completed,Repeat purchase
176,176,,1/28/2034,1,160,10,11.2,Cash,Completed,New customer
177,177,,3/10/2034,1,95,0,7.6,Debit Card,Completed,Loyal customer
178,178,,6/22/2034,1,90,0,7.2,Credit Card,Completed,Larger order
179,179,,5/1/2034,2,130,0,10.4,Cash,Completed,Repeat purchase
180,180,,8/14/2034,2,145,0,11.6,Debit Card,Completed,New customer
181,181,,7/10/2034,1,160,10,11.2,Credit Card,Completed,Loyal customer
182,182,,10/25/2034,1,95,0,7.6,Cash,Completed,Larger order
183,183,,9/2/2034,1,90,0,7.2,Debit Card,Completed,Repeat purchase
184,184,,1/18/2035,2,130,0,10.4,Credit Card,Completed,New customer
185,185,,12/5/2034,2,145,0,11.6,Cash,Completed,Loyal customer
186,186,,3/28/2035,1,160,10,11.2,Debit Card,Completed,Larger order
187,187,,2/10/2035,1,95,0,7.6,Credit Card,Completed,Repeat purchase
188,188,,5/22/2035,1,90,0,7.2,Cash,Completed,New customer
189,189,,4/5/2035,2,130,0,10.4,Debit Card,Completed,Loyal customer
190,190,,7/18/2035,2,145,0,11.6,Credit Card,Completed,Larger order
191,191,,6/10/2035,1,160,10,11.2,Cash,Completed,Repeat purchase
192,192,,9/25/2035,1,95,0,7.6,Debit Card,Completed,New customer
193,193,,8/2/2035,1,90,0,7.2,Credit Card,Completed,Loyal customer
194,194,,11/15/2035,2,130,0,10.4,Cash,Completed,Larger order
195,195,,10/5/2035,2,145,0,11.6,Debit Card,Completed,Repeat purchase
196,196,,1/28/2036,1,160,10,11.2,Credit Card,Completed,New customer
197,197,,3/10/2036,1,95,0,7.6,Cash,Completed,Loyal customer
198,198,,6/22/2036,1,90,0,7.2,Debit Card,Completed,Larger order
199,199,,5/1/2036,2,130,0,10.4,Credit Card,Completed,Repeat purchase
200,200,,8/14/2036,2,145,0,11.6,Cash,Completed,New customer
